Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
55873420,The Profit Paradox: How Thriving Firms Threaten the Future of Work,Jan Eeckhout,"Eeckhout, Jan",,"=""0691214476""","=""9780691214474""",4,3.93,Princeton University Press,Hardcover,336,2021,2021,,2025/05/05,,,read,,,,1,0
205127823,"Robust Machine Learning: Distributed Methods for Safe AI (Machine Learning: Foundations, Methodologies, and Applications)",Rachid Guerraoui,"Guerraoui, Rachid","Nirupam Gupta, Rafael Pinot","=""9819706874""","=""9789819706877""",0,0.0,Springer,Hardcover,187,2024,,,2025/05/22,to-read,to-read (#195),to-read,,,,0,0
54402849,Turing à la plage. L'intelligence artificielle dans un transat,Rachid Guerraoui,"Guerraoui, Rachid",Lê Nguyên Hoang,"=""2100795554""","=""9782100795550""",0,4.06,Dunod,Paperback,219,2020,,,2025/05/22,to-read,to-read (#194),to-read,,,,0,0
35605551,Unscaled: How AI and a New Generation of Upstarts Are Creating the Economy of the Future,Hemant Taneja,"Taneja, Hemant",Kevin Maney,"=""1610398122""","=""9781610398121""",0,3.86,PublicAffairs,Hardcover,240,2018,,,2020/05/09,to-read,to-read (#193),to-read,,,,1,0
3228917,Outliers: The Story of Success,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316017922""","=""9780316017923""",0,4.19,"Little, Brown and Company",Hardcover,309,2008,2008,,2021/05/15,to-read,to-read (#192),to-read,,,,1,0
106590,Lincoln,David Herbert Donald,"Donald, David Herbert",,"=""068482535X""","=""9780684825359""",0,4.19,Simon  Schuster,Paperback,714,1996,1995,,2021/09/12,to-read,to-read (#191),to-read,,,,1,0
57880116,The Contrarian: Peter Thiel and Silicon Valley's Pursuit of Power,Max Chafkin,"Chafkin, Max",,"=""1984878549""","=""9781984878540""",0,3.61,Penguin Press,Kindle Edition,400,2021,2021,,2022/02/04,to-read,to-read (#190),to-read,,,,2,0
142317626,"After Tamerlane: The Rise and Fall of Global Empires, 1400-2000",John Darwin,"Darwin, John",,"=""""","=""""",0,4.01,Penguin,Paperback,,2008,2007,,2023/08/30,to-read,to-read (#189),to-read,,,,1,0
6321234,The Nature of Technology: What It Is and How It Evolves,W. Brian Arthur,"Arthur, W. Brian",,"=""1416544054""","=""9781416544050""",0,3.96,Free Press,Hardcover,256,2009,2009,,2025/05/05,to-read,to-read (#188),to-read,,,,0,0
42449467,The Antitrust Paradigm: Restoring a Competitive Economy,Jonathan B Baker,"Baker, Jonathan B",,"=""0674975782""","=""9780674975781""",0,4.05,Harvard University Press,Hardcover,368,2019,,,2025/05/05,to-read,to-read (#187),to-read,,,,0,0
62315566,Power and Progress: Our Thousand-Year Struggle Over Technology and Prosperity,Daron Acemoğlu,"Acemoğlu, Daron",Simon Johnson,"=""1668626403""","=""9781668626405""",0,3.93,PublicAffairs,Audiobook,,2023,2023,,2025/05/05,to-read,to-read (#186),to-read,,,,0,0
43726589,"People, Power, and Profits: Progressive Capitalism for an Age of Discontent",Joseph E. Stiglitz,"Stiglitz, Joseph E.",,"=""1324004215""","=""9781324004219""",0,3.88,W. W. Norton & Company,Hardcover,366,2019,2019,,2025/05/05,to-read,to-read (#185),to-read,,,,0,0
60098290,Chokepoint Capitalism: How Big Tech and Big Content Captured Creative Labor Markets and How We'll Win Them Back,Rebecca Giblin,"Giblin, Rebecca",Cory Doctorow,"=""0807007064""","=""9780807007068""",0,4.25,Beacon Press,Hardcover,312,2022,2022,,2025/05/05,to-read,to-read (#184),to-read,,,,0,0
38242135,"AI Superpowers: China, Silicon Valley, and the New World Order",Kai-Fu Lee,"Lee, Kai-Fu",,"=""132854639X""","=""9781328546395""",5,4.09,Harper Business,Hardcover,255,2018,2018,,2025/01/26,,,read,,,,1,0
13059271,The Top Five Regrets of the Dying: A Life Transformed by the Dearly Departing,Bronnie Ware,"Ware, Bronnie",,"=""""","=""""",0,3.77,BalboaPress,Kindle Edition,247,2011,2011,,2025/03/20,to-read,to-read (#183),to-read,,,,0,0
8856901,كيمياء السعادة,Abu Hamid al-Ghazali,"al-Ghazali, Abu Hamid",أبو حامد الغزالي,"=""""","=""""",0,4.11,,Paperback,,,1105,,2025/03/20,to-read,to-read (#182),to-read,,,,0,0
